family,size,dataset,lr,beta,dpo_step,elapsed_time_sec,ARC-C,GPQA,GSM8K,HellaSwag,PIQA,TruthfulQA,IFEval,Arena-Hard,MT-Bench,AlpacaEval,ELO,Z-Static,Z-Dynamic,Z-All,Z-Macro
qwen3,1.7b,ultrafeedback_binarized,4e-06,0.01,432,3107.5,57.67918088737202,24.242424242424242,33.434420015163,68.06413065126469,75.89771490750816,47.631234327105545,66.98859027380684,55.0,62.5,7.1920894412395135,780.1898826051494,1.0792046343510926,0.7797745301424848,0.9703209600934172,0.9294895822467887
qwen3,1.7b,ultrafeedback_binarized,4e-06,0.01,478,3438.4,57.25255972696246,23.232323232323232,34.19257012888552,68.01433977295359,76.00652883569097,47.6024615073872,64.44694521647007,54.13333333333333,68.40277777777779,7.459847232683418,782.8894255218635,0.6353916504695205,1.2717595022016264,0.8667981420084682,0.9535755763355734
qwen3,1.7b,ultrafeedback_binarized,4e-06,0.02,48,349.3,57.5938566552901,23.232323232323232,34.950720242608035,67.13802031467834,75.1904243743199,47.520113782519005,65.23380186793264,49.36666666666666,51.94805194805194,4.070683905228628,726.1916499241433,0.3109936350249723,-0.04927273738376617,0.17998768142179464,0.13086044882060305
qwen3,1.7b,ultrafeedback_binarized,4e-06,0.02,96,698.5,56.91126279863481,24.242424242424242,31.46322971948446,67.56622186815375,75.40805223068553,47.535138802569406,64.87408963771682,54.03333333333333,50.67567567567568,4.525767303222464,720.5894835973373,0.6043568603192054,0.05023053880334161,0.4028563797679823,0.3272936995612735
qwen3,1.7b,ultrafeedback_binarized,4e-06,0.02,144,1047.8,57.081911262798634,22.22222222222222,31.311599696739954,67.74546903007369,75.51686615886834,47.833591657196955,65.22504731889165,55.599999999999994,59.589041095890416,5.066244309719208,753.8275296948513,0.5111132480105441,1.3118851585259996,0.8023030336525278,0.9114992032682718
qwen3,1.7b,ultrafeedback_binarized,4e-06,0.02,192,1397.0,56.996587030716725,23.232323232323232,34.19257012888552,67.81517625970922,75.57127312295974,47.772719140590524,65.40739681822009,55.0,65.0,6.322960867443584,768.205687177028,1.0311110732059987,1.3102655504143779,1.132621792190864,1.1706883118101883
qwen3,1.7b,ultrafeedback_binarized,4e-06,0.02,240,1746.3,57.5938566552901,22.727272727272727,34.874905231235786,67.97450707030472,75.35364526659413,47.77550307562872,64.41946258150595,55.599999999999994,63.90728476821192,6.572681542062901,759.7212368064278,0.6380838927194856,0.8032917654963966,0.6981594828201806,0.720687829107941
qwen3,1.7b,ultrafeedback_binarized,4e-06,0.02,288,2095.5,57.423208191126285,23.232323232323232,35.25398028809704,68.03425612427803,75.68008705114254,47.92111477508516,65.52979427917924,52.8,67.8082191780822,7.017033373797147,740.0402229920862,1.0641879266403664,0.4361382267501101,0.835806217589364,0.7501630766952383
qwen3,1.7b,ultrafeedback_binarized,4e-06,0.02,336,2444.8,57.67918088737202,24.242424242424242,35.70887035633055,67.93467436765584,75.73449401523395,48.058061987217876,64.43320389898803,58.46666666666667,64.09395973154362,7.382747910713064,778.3274313063599,0.8578603678141283,1.3775698521219142,1.0468456348351414,1.1177151099680214
qwen3,1.7b,ultrafeedback_binarized,4e-06,0.02,384,2794.0,57.84982935153583,21.71717171717172,36.01213040181956,67.94463254331806,75.62568008705114,48.09709044773167,64.44943860069061,54.39999999999999,71.42857142857143,6.749121000231852,822.2514551965005,0.7421541740984141,1.634059826678821,1.0664835023094712,1.1881070003886176
qwen3,1.7b,ultrafeedback_binarized,4e-06,0.02,432,3143.3,57.84982935153583,22.22222222222222,36.23957543593632,67.89484166500696,76.00652883569097,48.01995213043364,66.06060807546199,58.76666666666666,69.6551724137931,6.564103714462578,806.9973617264175,1.0197071483324909,1.4683930928705375,1.1828656736190533,1.2440501206015142
qwen3,1.7b,ultrafeedback_binarized,4e-06,0.02,478,3478.0,57.33788395904437,24.242424242424242,36.08794541319181,68.01433977295359,75.73449401523395,48.03897471937385,65.19008453126594,54.46666666666666,65.51724137931035,6.9867189824261935,751.5681260660041,1.0543033195606346,0.7548614809906027,0.945415378262441,0.9045824002756186
qwen3,1.7b,ultrafeedback_binarized,4e-06,0.04,48,345.9,56.8259385665529,24.747474747474747,33.66186504927976,67.31726747659829,75.1904243743199,47.49631272547829,64.94778299356818,49.06666666666666,51.006711409395976,4.067936775617734,744.6966391178357,0.11682588974914758,0.07685626364044873,0.10229148025507527,0.09684107669479816
